text,
 Game So happy this game is on App Store now <3,
 Annoying Omg the ads are so annoying.after every try there's an ad.,
 Sick Dis game is sick,
 Good game Great game. Hours of fun for all the family. Great work.,
 Criminal Case Nice game. Love playing it.,
" Finish now gem speed up How about along with a finish now a speed up for gems for half hour, hour & hours units.",
" Drop outs Can't even play a slot tournament without the app crashing, think it's time for a new update or else a new game!!!",
" Not good!! So many adverts. When your trying to watch it, it just freezes and takes such a long time to load! Sometimes it crashes and you need to start from the beginning! Picture quality isn't good, it can go blurry and it's not enjoyable!",
 Plumber Crack So fun  I totally recommend it,
" Too many crashes Far too many crashes recently and noticed that the slots have really tightened up.  Will continue to try to play, but if crashes/freezing continues, will delete game.  Don't like that it tries to take me to facebook too.  Not interested in that.  Games used to be fun.",
 Great! But... Was working fine for a few days but now it won't me log in I'm deleting then adding the app agian ill see if it works other wise would have been 5stars :(,
 GREAT Great game this is keep up the good work,
 Candy crush Did get up to 400+ but changed email and now back at start for third time so not impressed,
" Johnbri Love the game however, just got my new iPhone and I'm starting all over from scratch. Close to 2000000 coin down the drain. Plus all my characters. But still love playing it",
 New update just crashes I can't play since I downloaded the new update - it just crashes on loading every time. Turned my iPod off and on again but it made no difference.,
 Good game It's very adivte game for kids to look after animals,
 Robot Transfering My friend has 5 Cardinal chaoses and he wants to send one to me so I am asking if any game developers are reading this to enable robot Transfering.,
 Slots Don't know won't let me play.,
" Patience required Its buggy - spent about 10 times trying to log in. Surprised myself how many times I tried

A big bag of patience required for updates too. Hold your nerve and only use gems when you have to or have deep pockets

I'll play for a bit longer. Fills in the gaps whilst I'm waiting for clash of clans troop builds. If they iron out the bugs it has potential

Update to review : after playing it for a number of months playing:
Great game but it keeps crashing during a raid
Please have some stability",
" Ooookkkayyyyy This is a good game I have to say, but there are a few things I don't like about the game. First it crashes sometimes which is kinda irritating, next make it easier to get gold coins to get Zeus ( I have Zeus) , next WHY THE HEAK is atom a uw1 robot!!! He should be in the same class as Zeus , and the mystery draw card thing is hard ( that is how I got Zeus ) with the gold silver and bronze. The new update came and the 4 new bots are really cool especially Fiend. There are some irritating glitches that I would like you to fix. First of all it doesn't let me play against Zeus in the free sparring mode. Next sometimes when you are at main menu it doesn't let me swipe to see different angles of my robot. Also I have fiend and when I beat Zeus in the championship mode and it shows fiend with the belt and his midsection is invisible! Weird! Plz add another update to fx These irritating problems. Thx for reading. (when is global multiplayer coming?)",
 Dungeon Keeper You should make another game like this nice job !!!!,
 JD Very addictive fun gaming,
 Awesome Great for keeping the kids entertained at appointments - and awesome for me all the other times.... Hehe,
 hard game you need time or lot of money<U+3002>i spend more than 3k and still nobody in the game<U+3002> got zero one day because im at work.if you are rich this game is build for ya<U+3002>you can feel like a king<U+3002>but rich means spend more than 20k<U+3002>,
" Aussies are Disadvantaged I am currently on level 53 and am totally addicted to the game. The co op I belong to are some of the nicest people I have ""met"" and we are always helping each other out. I've made a lifelong friend with an American player and when playing today and chatting to her for more than two hours she requested another helping hand. I had already sent one to her and she sent one to me at the beginning of our play. After the two hours she requested another helping hand whilst I still had a further 4 hours to wait until I could request another. How come USA players get one every two hours??? And I also discovered that once you reach 20 million coins they don't accumulate any further so basically now I sell stuff and don't get any coin for it. That's downright rude. I have spent many real dollars on this game.",
 Casino Love these games awesome awesome awesome. My Favourite by far. Come on big bucks.  Double downs excellent always new games but Noveau Riche is my favourite atm. It rocks <f0><U+009F><U+0098><U+009D>,
" Shhaihshshhzusbsn Pretty good, it's a great time passer haha",
" Over all good game. It's a good game, however I like to make my farm look nice. I've started to 'decorate it' but I can't get any further because there is a limit on decorations? I don't understand the reasoning. I like to put paths through my whole farm, but I can only pave 1/16th of it (for example). If you like playing the game for the missions etc, then it's great, but I like playing these sorts of games to decorate. (I'm the person who plays the sims just to build and furnish the houses, I don't actually play with the people.)",
 Keeps them busy The kids love this game it makes them laugh.,
" Error I was tring to purchase a 99.99$ gift packet and it said I had 104.99$ in my account and it said insufficient credit so I can't buy the packet, please fix this error",
 Awsome!!!! Keep it up OTM! This is like the only game I play when I have wifi!!! Idefinitly reccomend this app for everyone!,
" Candy crush What a frustratingly addictive game. Love the challenges, variation on screen layout and best of all, love the timed ones.",
" This is a terrible app. I love subway Surfers, don't get me wrong this used to be a great game! But it needs a serious update. It takes about 10 minutes to load up and then keeps redirecting me to download another game when I'm click the cross! When the game eventually does start, it freezes every few seconds and doesn't let me slide up or down! The character just crashes into the posts! If it had a an update that worked that'd be great.",
 A fun game to play Very addicting - would like it more if the time for quests are reduced,
 Love this game This game helps me pass the time during my day!!!!,
 Love it Quality,
" Good but can be better! Nice game! But seriously, full energy only allows you to examine a scene 5 times? I reckon people quit playing because they have to wait for too long!! Love the mysterious element of the game, but certainly don't love the wait!",
" Good game My biggest problem with the game is that when the level is almost complete, the screen gets really dark and it's hard to see what's going on. I guess it's trying to simulate the closing of the store but it is unnecessary and a little irritating.",
" Family, energy and stars Incredible game however 5 minutes is far too long to have to wait for just 1 energy it's so frustrating also it's stupidly hard to earn stars considering that is what is required to buy most things in the game also it would be incredible is the rest of the family had characters in the game",
 WRB Soooo fun and addicting must have,
" Please read I know there's gonna be a billion suggestions but can you add a thing were you can attack your clan members , they don't loose loot and you don't gain loot , but u can attack your mates . Please this would really help good clans so they can see their flaws in their base design with out lossing things <3 great game aswell",
" Casino Can't always get rewards and if I don't go in within 24 hrs, always lose out on the accumulative bonus, may be get in after 25 hrs so bonus away - be a little easier on those of us who rock shifts and not always easy to get in at specific times",
